mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,10,0.8837988376617432,0.179628387093544,2.999274969100952,1.9428895756434332,0.0610226171452133,0.8766037700494138,1,8,20,100,10,4,2,gru,gs,25,42
test,10,0.8860000371932983,0.17144688963890076,3.0,1.91372046712656,0.05688004674976546,0.8179608720920367,1,8,20,100,10,4,2,gru,gs,25,42
train,11,0.8825945258140564,0.17156589031219482,2.9997003078460693,1.953307094797884,0.057002745413474526,0.814407321751152,1,8,20,100,10,4,2,gru,gs,25,42
test,11,0.8799999952316284,0.17649830877780914,3.0,1.91372046712656,0.04903459805084049,0.7099001886532881,1,8,20,100,10,4,2,gru,gs,25,42
train,12,0.881596565246582,0.17094391584396362,2.9997832775115967,1.9476201658980095,0.05290084805789111,0.7551172328340112,1,8,20,100,10,4,2,gru,gs,25,42
test,12,0.8970000147819519,0.14879068732261658,3.0,1.91372046712656,0.0532069104152932,0.7564373506230475,1,8,20,100,10,4,2,gru,gs,25,42
train,13,0.8888006806373596,0.16819415986537933,2.999835252761841,1.948540950610725,0.05097161742190663,0.7140588831962533,1,8,20,100,10,4,2,gru,gs,25,42
test,13,0.8790000677108765,0.17364487051963806,3.0,1.91372046712656,0.04145919432705993,0.5850699455627428,1,8,20,100,10,4,2,gru,gs,25,42
train,14,0.8827968835830688,0.1810922771692276,2.999563694000244,1.949893639864269,0.049221120619009136,0.6885743062660896,1,8,20,100,10,4,2,gru,gs,25,42
test,14,0.8970000147819519,0.17781580984592438,3.0,1.91372046712656,0.04612206530759913,0.6544882627938814,1,8,20,100,10,4,2,gru,gs,25,42
train,15,0.8809999227523804,0.1691584587097168,2.999922513961792,1.9375067618821487,0.049682721762001406,0.6840248555281727,1,8,20,100,10,4,2,gru,gs,25,42
test,15,0.8830000758171082,0.18218320608139038,3.0,1.91372046712656,0.04614861959239132,0.6382044137501333,1,8,20,100,10,4,2,gru,gs,25,42
train,16,0.8877999186515808,0.176213338971138,2.9999780654907227,1.9424436627472055,0.05255998874177743,0.7246145121107496,1,8,20,100,10,4,2,gru,gs,25,42
test,16,0.8859999775886536,0.17948657274246216,3.0,1.91372046712656,0.05170331759948852,0.7227287279720046,1,8,20,100,10,4,2,gru,gs,25,42
train,17,0.8945999145507812,0.16282396018505096,2.9999847412109375,1.947717732929743,0.04675035407605667,0.6447995116584623,1,8,20,100,10,4,2,gru,gs,25,42
test,17,0.8750001192092896,0.18248455226421356,3.0,1.91372046712656,0.04401828703188346,0.6120224663513198,1,8,20,100,10,4,2,gru,gs,25,42
train,18,0.8866001963615417,0.17395418882369995,2.9999935626983643,1.9448122874019695,0.04113890532472554,0.5777889004894706,1,8,20,100,10,4,2,gru,gs,25,42
test,18,0.8650000691413879,0.1959466189146042,3.0,1.91372046712656,0.04833071261216353,0.6670896382108339,1,8,20,100,10,4,2,gru,gs,25,42
train,19,0.8851991295814514,0.17148417234420776,2.9999752044677734,1.950227369998184,0.04205037396658601,0.5889280893647441,1,8,20,100,10,4,2,gru,gs,25,42
test,19,0.8830000758171082,0.16455575823783875,3.0,1.91372046712656,0.04803551709096058,0.6799529972579301,1,8,20,100,10,4,2,gru,gs,25,42
