epoch,mode,loss,acc,eval_acc,complexity,information_loss,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed,data_seed
40,test,0.08812978118658066,0.934999942779541,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
41,train,0.08549231290817261,0.9399999976158142,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
41,test,0.08812268823385239,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
42,train,0.08548572659492493,0.9404000639915466,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
42,test,0.08811641484498978,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
43,train,0.08547964692115784,0.9398000240325928,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
43,test,0.08811075985431671,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
44,train,0.08547421544790268,0.9406000375747681,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
44,test,0.08810540288686752,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
45,train,0.08546904474496841,0.939799964427948,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
45,test,0.08810054510831833,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
46,train,0.08546428382396698,0.9392000436782837,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
46,test,0.08809587359428406,0.9389999508857727,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
47,train,0.08545982092618942,0.9392000436782837,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
47,test,0.08809198439121246,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
48,train,0.08545578271150589,0.9390000104904175,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
48,test,0.08808782696723938,0.9339998960494995,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
49,train,0.08545201271772385,0.9377999901771545,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
49,test,0.08808411657810211,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
50,train,0.0854484811425209,0.9410000443458557,0.9375,17.974549364989404,59.81191171264328,50,100,200,100,200,1,1,gru,continuous,50,42,100
50,test,0.08808080852031708,0.9360000491142273,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
51,train,0.08544525504112244,0.9384000301361084,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
51,test,0.0880776196718216,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
52,train,0.08544217795133591,0.9390000104904175,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
52,test,0.08807460963726044,0.9319999814033508,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
53,train,0.08543933928012848,0.9405999779701233,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
53,test,0.08807192742824554,0.9359999895095825,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
54,train,0.08543667197227478,0.9385999441146851,,,,50,100,200,100,200,1,1,gru,continuous,50,42,100
