mode,epoch,acc,loss,length,complexity,information_loss,kl_accuracy,distractors,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,train_method,batch_size,random_seed
train,10,0.9609887003898621,0.08630232512950897,2.9974403381347656,0.9425312438582943,0.018059357960838827,0.26673706313039297,1,8,20,100,10,4,2,gru,gs,25,42
test,10,0.9639999866485596,0.08444501459598541,3.0,1.0171152462010147,0.016231099217587364,0.21058597883220329,1,8,20,100,10,4,2,gru,gs,25,42
train,11,0.9615972638130188,0.07955071330070496,2.9976985454559326,0.9597207499615767,0.018711958472952546,0.25898723460810735,1,8,20,100,10,4,2,gru,gs,25,42
test,11,0.9539999961853027,0.085512176156044,3.0,1.3652171859426505,0.017929182345130516,0.24551451054754922,1,8,20,100,10,4,2,gru,gs,25,42
train,12,0.9687957763671875,0.06783609092235565,2.999054193496704,1.2461725053704773,0.014144736367876084,0.20004696875732716,1,8,20,100,10,4,2,gru,gs,25,42
test,12,0.9670000076293945,0.06893585622310638,3.0,1.6606825218471462,0.016235555945452486,0.17628569568305016,1,8,20,100,10,4,2,gru,gs,25,42
train,13,0.9725977778434753,0.057242926210165024,2.999577522277832,1.4786971839018972,0.012334575480938144,0.15737020782238315,1,8,20,100,10,4,2,gru,gs,25,42
test,13,0.9769999980926514,0.046644143760204315,3.0,1.6606825218471462,0.012776766583405026,0.16376588268452874,1,8,20,100,10,4,2,gru,gs,25,42
train,14,0.9727992415428162,0.05485590547323227,2.9997267723083496,1.3973259380545835,0.008451429284016258,0.12396121496589044,1,8,20,100,10,4,2,gru,gs,25,42
test,14,0.9739999771118164,0.05239216238260269,3.0,1.6606825218471462,0.007995525691188304,0.11349388121561753,1,8,20,100,10,4,2,gru,gs,25,42
train,15,0.9769986271858215,0.046603795140981674,2.9999260902404785,1.6502746721607247,0.0073496140907773205,0.10309514671388324,1,8,20,100,10,4,2,gru,gs,25,42
test,15,0.9700000286102295,0.05018726736307144,3.0,1.6606825218471462,0.009897654749710372,0.14926437832138115,1,8,20,100,10,4,2,gru,gs,25,42
train,16,0.9787992238998413,0.04505639895796776,2.9999184608459473,1.658759825008057,0.007727828416922132,0.10243622031620367,1,8,20,100,10,4,2,gru,gs,25,42
test,16,0.9810000061988831,0.04013628885149956,3.0,1.6606825218471462,0.009048540252344925,0.13199811978771225,1,8,20,100,10,4,2,gru,gs,25,42
train,17,0.9730022549629211,0.05545157566666603,2.999197483062744,1.1136826878593402,0.014724881125414419,0.15677248689723206,1,8,20,100,10,4,2,gru,gs,25,42
test,17,0.9540000557899475,0.12108767032623291,3.0,1.3861172478557147,0.038238356544741295,0.5488494183690383,1,8,20,100,10,4,2,gru,gs,25,42
train,18,0.9697896242141724,0.06609335541725159,2.9984519481658936,1.322889178543825,0.019584826047002252,0.26199846890451317,1,8,20,100,10,4,2,gru,gs,25,42
test,18,0.9579999446868896,0.09143953025341034,3.0,1.5066415713015975,0.023164633212174022,0.30317752509693363,1,8,20,100,10,4,2,gru,gs,25,42
train,19,0.9729918241500854,0.058225322514772415,2.9991989135742188,1.508888828552576,0.012658199456269201,0.17859162198915365,1,8,20,100,10,4,2,gru,gs,25,42
test,19,0.9509999752044678,0.07020857185125351,3.0,1.5878677711896017,0.01466296854921742,0.208450989385264,1,8,20,100,10,4,2,gru,gs,25,42
